发布日期,平台,标题,标签,一句话描述,推荐度,推荐标签,判断理由,链接,用户备注
2026-06-08,Switch,舒适森林 Cozy Grove,生活模拟；休闲；叙事；收集,闹鬼岛屿生活模拟游戏，帮助幽灵、探索故事、收集制作装饰。,3,可试,生活模拟但有角色故事和日常探索感，每个幽灵有独特故事，手绘美术，Cozy氛围。,https://www.gamer520.com/18249.html,玩过，已收录到有意思中。
2026-06-07,PC,财富磨坊 Fortune Mill,增量；休闲；自动化,增量点击游戏，在房间中投掷飞镖、刮彩票赚钱解锁自动化，赚到100万逃出房间。,1,非常不推荐,纯增量数值游戏，主要乐趣来自数值增长和自动化效率提升，缺少叙事、氛围和情境体验，不符合口味。,https://www.gamer520.com/114754.html,
2026-06-07,PC,色系战记,卡牌构筑；Roguelike；回合策略,融合涂地地盘争夺的Roguelike卡牌构筑游戏，通过卡牌范围抢占领地颜色。,2,不推荐,涂地玩法有一定创新，但本质是传统卡牌构筑+Roguelike回合制战斗，卡牌战斗不在核心口味内。,https://www.gamer520.com/113102.html,
2026-06-07,PC,沙盘战争 三国,策略；模拟；三国；大战略,三国题材战略模拟游戏，管理城池内政军政、招募武将、攻城略地统一天下。,2,不推荐,三国题材策略模拟，有内政管理和资源取舍要素，但纯大战略/战争类型，缺少叙事和生活气息，不在核心口味内。,https://www.gamer520.com/112481.html,
2026-06-06,PC,杀手精神病兔子在太空新星拓荒,科幻；弹幕射击；Roguelite；基地建设；RTS,在异星战场上融合弹幕肉鸽射击与基地建设即时战略，高速走位割草并建造防御网。,1,非常不推荐,核心是弹幕射击和高速动作战斗，不符合你的偏好。,https://www.gamer520.com/114951.html,
2026-06-06,PC,吾皇万岁,皇帝模拟；治理；策略；多结局；家族,穿越为古代新君治理国家、纳妃育嗣、选贤任能、征战四方，代代传承打造盛世王朝。,3,可试,皇帝治理模拟、NPC家族关系和政策决策系统有研究价值；但偏向策略管理和长线运营。,https://www.gamer520.com/114949.html,
2026-06-06,PC,灰烬王国 陨落纪元 Kingdom of Ashes,Roguelike；卡牌构筑；元素连锁；策略,单人Roguelike卡组构建游戏，抽取卡牌连锁元素共鸣穿越程序化地图挑战八位英雄的飞升之途。,1,非常不推荐,核心是传统Roguelike卡牌构筑和回合战斗，属于你通常兴趣较低的类型。,https://www.gamer520.com/114946.html,
2026-06-06,PC,山河小侠,武侠；回合制RPG；开放世界；多结局；群侠,扮演无名侠客在开放武侠世界中修炼武功、结交挚友、参与国家大事，在回合对决中铸就江湖传奇。,2,不推荐,有剧情和关系系统但核心是回合制战斗和武学修炼循环，战斗占比偏高。,https://www.gamer520.com/114943.html,
2026-06-06,PC,哥特王朝 重制版 Gothic Remake,动作RPG；开放世界；重制版；奇幻；探索,重返采矿之谷的传奇开放世界RPG重制版，探索动态世界并与三大派系结盟决定命运。,1,非常不推荐,核心是动作RPG战斗和高强度操作挑战，战斗和探索比重极高不符合你的偏好。,https://www.gamer520.com/114933.html,
2026-06-06,PC,梦幻魔法公主,美少女养成；模拟；多结局；二次元,扮演父亲将女儿养大至魔导学园毕业的170+互动事件和50+多结局美少女养成游戏。,1,非常不推荐,核心卖点是二次元美少女养成和角色互动，与已排除的二次元过度卖点高度重合。,https://www.gamer520.com/112551.html,
2026-06-06,PC,生化危机9 安魂曲 Resident Evil 9 Requiem,生存恐怖；第三人称射击；里昂；解谜,与里昂和FBI分析员葛蕾斯在拉昆市展开双角色生存恐怖冒险，战斗解谜并管理有限资源。,1,非常不推荐,核心是生存恐怖射击战斗和资源管理，且有FPS选项与晕3D完全不玩的立场冲突。,https://www.gamer520.com/109515.html,
2026-06-06,PC,仁王 3 Nioh 3,动作RPG；类魂；战国；武士；忍者,在黑暗战国世界中自由切换武士与忍者战斗风格，在高强度动作挑战中对抗妖怪。,1,非常不推荐,核心是高强度类魂动作战斗和操作挑战，不符合你的偏好。,https://www.gamer520.com/106845.html,
2026-06-06,PC,学生时代,校园养成；90年代；叙事驱动；多结局；MBTI,在南方小城经历纯正中国千禧代成长之路，自选性别结识同学谈一场青春恋爱，抉择决定未来。,3,可试,校园生活叙事驱动、90年代中国青春氛围和MBTI人格运用有参考价值；但偏养成模拟日常。,https://www.gamer520.com/92448.html,
2026-06-06,PC,深渊之印 Mark of the Deep,动作冒险；海盗；类魂；探索；多结局,扮演海盗菜鸟刘琦在受诅咒岛屿上探索并拯救失踪船员，面对魂系战斗挑战和多结局抉择。,1,非常不推荐,核心是魂系动作战斗和操作挑战，不符合你的偏好。,https://www.gamer520.com/87774.html,
2026-06-06,PC,暗黑破坏神2 狱火重生 重制炼狱版 Diablo II Resurrected Infernal Forge,动作RPG；砍杀；刷装备；MOD；联机,经典ARPG重制版含毁灭之王及术士君临MOD扩展，8大职业200+技能联机刷装。,1,非常不推荐,核心是ARPG刷装砍杀和数值成长循环，与你明确不喜欢的元素高度重合。,https://www.gamer520.com/22679.html,
2026-06-05,PC,魔女 终末旅途,卡牌构筑；类Rogue；日系角色扮演；多人合作,组建魔女小队在卡牌构筑Roguelite战斗中自定义卡牌和命运，为世界送上终焉之旅。,1,非常不推荐,核心是卡牌构筑Roguelite和重复刷局，属于你通常兴趣较低的类型。,https://www.gamer520.com/114890.html,
2026-06-05,PC,再见犹丽狄茜,视觉小说；恋爱模拟；校园青春；音乐；GalGame,高三艺考生李莫在低谷期遇到自称犹丽狄茜的古怪少女，体验校园青春恋爱故事。,1,非常不推荐,属于校园恋爱GalGame，二次元恋爱卖点不符合你的偏好。,https://www.gamer520.com/114888.html,
2026-06-05,Switch,世界大战 诺曼底登陆 1944 World War D-Day 1944,第一人称射击；二战；战争；单人战役,在诺曼底登陆战中体验第一人称射击战斗，从海滩两栖攻击到空降作战。,1,非常不推荐,明确为第一人称射击游戏，与晕3D完全不玩的立场冲突。,https://www.gamer520.com/114881.html,
2026-06-05,Switch,消失的列车 The Vanishing Train,心理恐怖；第一人称；火车模拟；日本；多结局,担任日本本地线路火车售票员，在神秘事件中体验第一人称心理恐怖故事。,1,非常不推荐,第一人称恐怖游戏，心理恐怖和火车司机模拟不贴合你的偏好。,https://www.gamer520.com/114879.html,
2026-06-05,PC,房产达人 重制版合集 House Flipper Remastered Collection,模拟；装修；建造；经营；重制合集,成为装修达人，翻新破败房产、完成客户订单并打造梦想居所的重制版合集。,1,非常不推荐,核心是模拟装修流程操作，缺少叙事和策略取舍。,https://www.gamer520.com/114830.html,
2026-06-05,PC,"战锤 40,000 机师2 Warhammer 40,000 Mechanicus II",回合制战术；策略管理；战锤40K；科幻；战役,指挥机械修会或太空死灵阵营，在快节奏回合制战术战斗和战略管理中争夺世界的控制权。,2,不推荐,有战锤世界观和战略管理要素，但核心是回合制战术战斗，玩法偏策略对抗。,https://www.gamer520.com/114033.html,
2026-06-05,PC,王国历史 三国志,策略；大战略；三国；即时战略；历史,以三国为背景的半即时战略游戏，割据一方、扩张领土并统一天下。,1,非常不推荐,核心是即时战略战斗和势力扩张，属于你明确不喜欢的类型。,https://www.gamer520.com/113500.html,
2026-06-05,Switch,终末机兵 NITRO GEN OMEGA,沙盒战术；回合制RPG；机甲；废土；队员培养,指挥雇佣兵小队驾驶机甲穿越废土，在时序回合制战斗中编排电影式战斗，培养队员情谊。,2,不推荐,有队员培养和世界探索，但核心是回合制战术战斗。,https://www.gamer520.com/113434.html,
2026-06-05,PC,星砂岛,田园生活；海岛；经营；探索；休闲,在星砂岛上回归田园生活，种植、养殖、建造家园、结识岛民并探索岛屿秘密。,3,可试,田园生活、经营建造和岛民关系有生活气息，但偏模拟经营日常。,https://www.gamer520.com/108595.html,
2026-06-05,PC,龙胤立志传,武侠；开放世界；门派经营；RPG；战斗,在神州大地自由探索、修炼武功、经营门派并攻城略地，谱写武林传奇。,1,非常不推荐,核心是武侠开放世界战斗和门派经营，不符合你的偏好。,https://www.gamer520.com/104670.html,
2026-06-05,PC,受折磨的灵魂2 Tormented Souls 2,生存恐怖；解谜；固定视角；女主人公；邪教,卡洛琳前往智利深山诊所解救妹妹，在固定视角生存恐怖中解谜、战斗并穿梭现实与彼界。,2,不推荐,有解谜和恐怖氛围，但核心是生存恐怖战斗和惊吓体验。,https://www.gamer520.com/101195.html,
2026-06-05,Switch,折言 And Roger,互动声画读物；心理恐怖；短篇叙事；认知畸变,少女醒来后发现父亲失踪，陌生男子逼迫她服药，玩家通过角色视点体验认知畸变的短篇互动故事。,3,可试,叙事驱动、短篇互动声画形式新颖，气氛营造有辨识度。,https://www.gamer520.com/96731.html,
2026-06-05,PC,深空七号 Deep Space 7,第三人称射击；恐怖；解谜；太空站；生存,在太空站中面对恐怖怪物，克服补给不足并解谜逃生。,1,非常不推荐,核心是第三人称射击和恐怖生存战斗，不符合你的偏好。,https://www.gamer520.com/92047.html,
2026-06-05,PC,刀剑神域 碎梦边境 SWORD ART ONLINE Fractured Daydream,动作；多人共斗；动漫改编；JRPG；联机,桐人与系列21名角色穿越记忆联手，在最多20人联机的动作共斗中迎战强敌。,1,非常不推荐,核心是在线动作共斗战斗，不符合你的偏好。,https://www.gamer520.com/82628.html,
2026-06-05,PC,电竞教父,电竞管理；MOBA；卡牌；经营模拟；策略,扮演电竞教练组建战队，通过BP博弈、卡牌指挥和选手培养争夺冠军。,2,不推荐,有管理策略要素，但核心是电竞经营模拟和卡牌对战，偏离你的叙事偏好。,https://www.gamer520.com/77165.html,
2026-06-05,Switch,迪士尼梦幻星谷 Disney Dreamlight Valley,生活模拟；冒险；迪士尼；社区建设；任务,在充满迪士尼魔法的世界中探索剧情，与英雄和反派一起打造社区。,2,不推荐,生活模拟有氛围，但核心是迪士尼IP社区建设和任务，偏向收集和装饰。,https://www.gamer520.com/41011.html,
2026-06-05,PC,征服之歌 Songs of Conquest,回合策略；90年代经典；四大阵营；探索；城镇建设,领导行使者魔法师探索未知土地，管理城镇、研发科技并在回合制战斗中征服世界。,2,不推荐,有城镇管理和探索要素，但核心是回合制策略战斗，类型偏传统。,https://www.gamer520.com/31091.html,
2026-06-05,PC,十字军之王3 Crusader Kings III,大战略；中世纪；王朝管理；角色扮演；战争,在中世纪沙盒中引领贵族家族，通过联姻、计谋和战争扩张势力，决定王朝的命运。,2,不推荐,有角色扮演和人物关系，但核心是大战略战争和宏观管理，叙事牵引较弱。,https://www.gamer520.com/12487.html,
2026-06-04,PC,血色西部,潜行；第一人称射击；克苏鲁；西部；开放世界,西部荒野中融合克苏鲁恐怖元素的第一人称潜行射击游戏,1,非常不推荐,明确为第一人称射击游戏，与晕3D完全不玩的立场冲突,https://www.gamer520.com/114825.html,
2026-06-04,PC,Remorses,恐怖；巫术；解谜；生存；潜行,1991年调查韦斯特布鲁克宅邸巫术传闻的慢节奏恐怖解谜游戏,3,可试,慢节奏恐怖解谜叙事体验，气氛营造和谜题设计有参考价值,https://www.gamer520.com/114820.html,
2026-06-04,PC,难忘的爱 Unforgettable Love,模拟；恋爱模拟；生活模拟；沉浸式模拟；全动态影像,失忆主角在五位女性陪伴下通过对话与策略成长拼凑过去的沉浸式恋爱模拟游戏,1,非常不推荐,属于《完蛋！我被美女包围了！》式国产真人恋爱模拟影游，主要卖点是美女暧昧互动而非实质叙事，已明确排除,https://www.gamer520.com/114818.html,
2026-06-04,PC,自动梭哈 Slots & Diapers,自动博弈；老虎机；放置；概率,自动拉老虎机的放置博弈游戏，通过概率和升级获得收益。,1,非常不推荐,核心是自动概率博弈和数值成长，与你明确不喜欢的元素高度重合。,https://www.gamer520.com/114786.html,
2026-06-04,PC,孤胆少女,俯视角射击；丧尸；生存；血腥；动作,在末世军事基地中扮演孤胆少女，用各种枪械对抗蜂拥而来的异形和畸变怪物。,1,非常不推荐,核心是俯视角射击和丧尸潮动作战斗，与你明确不喜欢的元素高度重合。,https://www.gamer520.com/114784.html,
2026-06-04,PC,欧皇VS非酋,抽卡；概率；运气；策略；休闲,在欧皇与非酋的对决中依靠抽卡运气和策略博弈取胜。,1,非常不推荐,核心是概率抽卡和运气博弈，缺乏叙事和实质策略，不符合你的偏好。,https://www.gamer520.com/114782.html,
2026-06-04,PC,疯狂前哨,生存；塔防；基地建设；防御,在疯狂的世界中建设前哨据点，通过防御工事和资源管理抵御敌人进攻。,1,非常不推荐,核心是生存塔防和基地防御，不符合你的偏好。,https://www.gamer520.com/114779.html,
2026-06-04,PC/Switch,热血西游记 天竺奇谭,动作Rogue；热血系列；西游记；像素；喜剧,扮演国夫版孙悟空、猪八戒等角色，在Roguelite关卡中随机获得妙法强化技能，一路战斗前往天竺的热血喜剧动作冒险。,1,非常不推荐,核心是动作Rogue战斗和清版闯关，与你明确不喜欢的元素高度重合。,https://www.gamer520.com/114748.html,
2026-06-04,PC,醉意江湖 武松,武侠；动作；水浒；打斗；江湖,扮演武松在水浒世界中闯荡江湖，通过战斗和选择推进故事。,1,非常不推荐,核心是武侠动作战斗，不符合你的偏好。,https://www.gamer520.com/112905.html,
2026-06-04,PC,妖谈2 九尾异闻,塔防；即时战术；中度Rogue；解谜；中日神话,在六边形地图上战略部署单位守护领地，探索中日神话融合的世界，收集神明赐福强化队伍。,1,非常不推荐,核心是塔防和即时战术战斗，虽然有神话故事包装但玩法完全脱离你的偏好。,https://www.gamer520.com/112455.html,
2026-06-04,Switch,黑暗拍卖 Dark Auction,推理冒险；神秘拍卖；解谜；叙事驱动；悬疑,主角诺亚参加古堡中的神秘拍卖会，与参与者共同解开拍卖品之谜，同时发掘父亲隐藏的巨大秘密。正统推理冒险游戏。,4,推荐,正统推理冒险、拍卖会谜团、古堡悬疑氛围、叙事驱动，高度贴合你的推理和叙事偏好。,https://www.gamer520.com/105823.html,否，纯文字叙事，点击冒险，推理
2026-06-04,PC,天朝上国,策略；历史；古代中国；模拟经营；王国管理,扮演古代中国统治者，管理国家内政、军事、外交和文化发展。,2,不推荐,国家经营管理有策略要素，但核心偏向宏观策略模拟，缺乏人物叙事和具体情境。,https://www.gamer520.com/99874.html,
2026-06-04,PC,最终幻想7 重生 FINAL FANTASY VII REBIRTH,JRPG；动作RPG；奇幻；剧情；经典重制,克劳德一行离开米德加后踏入广阔世界，在剧情驱动下探索、战斗并追猎萨菲罗斯的全新旅程。,1,非常不推荐,虽然故事驱动，但核心是动作RPG战斗和操作挑战，不符合你的偏好。,https://www.gamer520.com/89212.html,
2026-06-04,Switch,地心护核者 Core Keeper,沙盒生存；挖矿；基地建设；探索；多人,在地下世界中挖掘资源、建设基地、击败怪物并逐步探索核心秘密的沙盒生存游戏。,2,不推荐,有探索和建设循环，但核心是挖矿生存沙盒，叙事密度有限且偏向长线采集建造。,https://www.gamer520.com/83617.html,
2026-06-04,PC,哈迪斯2 Hades II,动作Roguelike；希腊神话；高速战斗；Build构筑；剧情,扮演冥界公主墨利诺厄，使用多种武器和法术反复挑战冥界，在高速战斗和剧情推进中逐渐揭开时间之神的阴谋。,1,非常不推荐,虽然有剧情叙事，但核心是高速动作Roguelike战斗和Build构筑循环，不符合你的偏好。,https://www.gamer520.com/75506.html,
2026-06-04,PC,流放者柯南 Conan Exiles,生存；建造；开放世界；野蛮人；沙盒,在蛮王柯南的开放世界中生存、建造、征服，从无名流放者成长为一方霸主。,2,不推荐,有世界氛围和建造探索，但核心是生存沙盒和战斗循环，叙事密度有限。,https://www.gamer520.com/69881.html,
2026-06-04,PC,帝国时代2 决定版 Age of Empires II Definitive Edition,RTS；历史；策略；战役；即时战斗,指挥文明从黑暗时代发展到帝王时代，通过资源采集、基地建设和战斗征服对手。,1,非常不推荐,核心是即时战略战斗和资源管理，与你明确不喜欢的类型高度重合。,https://www.gamer520.com/40759.html,
2026-06-03,PC,TBH 塔斯克巴·英雄,放置RPG；像素；挂机；自动战斗；迷你窗口,在屏幕角落运行的迷你放置RPG，像素勇者自动收集道具、战斗成长，在工作间隙体验砍杀乐趣。,1,非常不推荐,核心是放置挂机和自动数值成长，与你明确不喜欢的元素高度重合。,https://www.gamer520.com/114742.html,
2026-06-03,Switch,魔导物语 菲婭与奇妙的学校,JRPG；魔法学校；冒险；战斗；日式,在魔法学校中学习魔法、结交朋友并展开奇幻冒险。,1,非常不推荐,核心是JRPG战斗和日式角色养成，不符合你的偏好。,https://www.gamer520.com/114738.html,
2026-06-03,Switch,波比玩乐时光 第五章 Poppy Playtime Chapter 5,恐怖；解谜；逃亡；第一人称；惊悚,在第一人称恐怖视角下探索废弃玩具工厂，躲避恐怖玩偶追杀并解开谜团。系列第五章。,1,非常不推荐,核心是恐怖逃亡和解谜惊吓，不符合你的偏好。,https://www.gamer520.com/114398.html,
2026-06-03,PC,巴萨卡狂潮,动作；狂战士；战斗；砍杀,扮演狂战士在战场上横冲直撞，以狂乱战斗风格击倒一切敌人。,1,非常不推荐,核心是狂战士动作砍杀，不符合你的偏好。,https://www.gamer520.com/114057.html,
2026-06-03,PC,神探杰克鼠 MOUSE P.I. For Hire,FPS；卡通渲染；侦探；1930年代；黑色电影；复古,扮演私家侦探杰克·佩珀，在1930年代手绘卡通风格的鼠城中，通过快节奏第一人称射击战斗揭开腐败与阴谋的真相。,1,非常不推荐,第一人称射击游戏，晕3D完全不玩。且核心是快节奏射击战斗，与你明确不玩的方向高度重合。,https://www.gamer520.com/111913.html,
2026-06-03,PC,浣熊推币机,街机；推币；休闲；模拟,模拟街机推币机玩法，通过投掷硬币推落奖品和奖励。,1,非常不推荐,核心是街机推币模拟，缺乏叙事和策略，不符合你的偏好。,https://www.gamer520.com/111179.html,
2026-06-03,PC,星际裂变,科幻；动作；太空；战斗,在星际间展开战斗和探索，通过太空作战推进剧情。,1,非常不推荐,核心是太空动作战斗，不符合你的偏好。,https://www.gamer520.com/104792.html,
2026-06-03,PC,今古群侠传,武侠；RPG；战斗；江湖,在广阔的武侠世界中招募群侠、修炼武功、闯荡江湖。,1,非常不推荐,核心是武侠战斗和角色成长，不符合你的偏好。,https://www.gamer520.com/104746.html,
2026-06-03,Switch,鸭鸭侦探 Duck Detective,推理；侦探；轻松；解谜；叙事,扮演倒霉的鸭子侦探，调查案情、审问嫌疑人并运用独特的鸭子式推理揭开谜团。包含两个独立案件。,3,可试,轻松推理侦探游戏，叙事驱动、角色可爱，但体量较小、谜题相对浅显，适合轻量体验。,https://www.gamer520.com/103058.html,已游玩，画面清新明媚，经典的点击-收集线索-推进故事。看到它让我理解了什么是一个好的游戏（florence），florence的游戏结构也是收集-推进，但从不会让人感到模式的重复，它的谜题和动作和游戏情景高度融合，和生活相仿，并产生情感上的感触，它还有一个让人记忆深刻的故事和艺术化的风格。
2026-06-03,Switch,LoveR Kiss 无尽回忆,恋爱；摄影；校园；日式；视觉小说,以校园摄影社团为背景，通过拍摄照片和与女主角互动发展恋爱关系的日式视觉小说。,1,非常不推荐,核心是恋爱互动和二次元卖点，不符合你的偏好。,https://www.gamer520.com/102934.html,
2026-06-03,PC,无用之人 登神长阶,动作；RPG；战斗；阶梯挑战；魂like,扮演无用之人登上漫长阶梯，在战斗中不断成长并获得神灵之力。,1,非常不推荐,核心是动作战斗挑战，不符合你的偏好。,https://www.gamer520.com/102533.html,
2026-06-03,PC,百日战纪 最终防卫学园,ADV；SRPG；小高和刚；打越钢太郎；多结局；叙事驱动；防卫战,小高和刚与打越钢太郎联手打造的ADV+SRPG新作。15名学生被召集至最终防卫学园，必须在100天内抵御侵校生入侵。多重结局由你的选择决定，包含防卫战SRPG和自由探索环节。,4,推荐,小高和刚（弹丸论破）与打越钢太郎（极限脱出）强强联手，叙事驱动、多重结局、选择导向，高度贴合你的口味。,https://www.gamer520.com/91819.html,否，传统战棋
2026-06-03,PC,钢铁之种 Steel Seed,动作；潜行；科幻；战斗,在后末日世界中进行潜行和战斗，探索废墟并揭开灾难背后的真相。,1,非常不推荐,核心是动作潜行战斗，不符合你的偏好。,https://www.gamer520.com/91725.html,
2026-06-03,PC,勇闯死人谷 暗黑之日,丧尸；射击；生存；动作；跑酷,在丧尸末日中狂奔穿梭，通过跑酷和射击在尸潮中生存并寻找安全出路。,1,非常不推荐,核心是丧尸射击和跑酷动作，不符合你的偏好。,https://www.gamer520.com/91135.html,
2026-06-03,Switch,蝙蝠侠 阿卡姆骑士 Batman Arkham Knight,动作；超级英雄；战斗；潜行；开放世界,扮演蝙蝠侠在高谭市打击犯罪，运用格斗技巧和潜行击败哥谭的犯罪势力。,1,非常不推荐,核心是高强度动作格斗和潜行战斗，不符合你的偏好。,https://www.gamer520.com/68691.html,
2026-06-03,Switch,西瓜游戏 合成大西瓜,休闲；益智；物理；堆叠；解压,将水果投入容器中，让相同水果碰撞合成更大的水果，最终合成大西瓜的休闲物理益智游戏。,1,非常不推荐,核心是休闲物理益智，缺乏叙事和策略深度，不符合你的偏好。,https://www.gamer520.com/66897.html,
2026-06-03,PC,僵尸毁灭工程 Project Zomboid,丧尸；生存；沙盒；硬核；资源管理,在丧尸末日的硬核沙盒中求生存，管理饥饿、健康、情绪和资源，面对一场无法获胜的持久战。,2,不推荐,沙盒生存和资源压力有研究价值，但硬核生存循环和缺乏叙事目标偏离你的核心口味。,https://www.gamer520.com/43904.html,
2026-06-03,PC,夜族崛起 V Rising,吸血鬼；生存；建造；开放世界；战斗,扮演苏醒的吸血鬼，建造城堡、狩猎鲜血、征服领地，在开放世界中崛起。,2,不推荐,吸血鬼题材和城堡建设有氛围，但核心是生存建造和开放世界战斗循环，叙事密度有限。,https://www.gamer520.com/32134.html,
2026-06-03,PC,帝国时代 IV Age of Empires IV,RTS；历史；策略；战役；即时战斗,在历史长河中指挥帝国军队，通过资源采集、基地建设和战斗推进从黑暗时代到文艺复兴的文明征程。,1,非常不推荐,核心是即时战略战斗和资源管理，与你明确不喜欢的类型高度重合。,https://www.gamer520.com/23904.html,
2026-06-02,Switch,卡片战斗先导者DD2 Cardfight Vanguard DD2,卡牌对战；TCG；策略；动漫改编,基于人气TCG的卡牌对战游戏，构筑卡组并与其他角色对决。,1,非常不推荐,核心是卡牌对战和构筑，不符合你的偏好。,https://www.gamer520.com/114701.html,
2026-06-02,PC,飞空艇探险物语,冒险；模拟经营；空艇；探索；角色扮演,驾驶飞艇探索天空岛屿、招募船员、执行任务并发展飞艇设施，在冒险中揭开天空尽头的秘密。,2,不推荐,有探索和角色扮演元素，但核心是模拟经营和任务循环，叙事密度可能有限。,https://www.gamer520.com/114677.html,
2026-06-02,PC,眷族,宠物收集；战斗；进化；培养；冒险,捕捉和培养大量宠物进行战斗，通过进化、变异和技能搭配打造独特队伍，探索随机生成的冒险世界。,1,非常不推荐,核心是宠物收集培养和战斗循环，与你明确不喜欢的元素高度重合。,https://www.gamer520.com/114675.html,
2026-06-02,PC,破碎怪谈：恶意关注,恐怖；心理惊悚；解谜；逃亡；叙事,扮演安妮在充满超现实怪物的内心世界中探索记忆、解谜并躲避追杀，揭开她与母亲关系的黑暗真相。,2,不推荐,恐怖氛围和心理叙事有一定牵引力，但核心是逃亡躲藏和解谜，体验偏惊吓。,https://www.gamer520.com/114673.html,
2026-06-02,PC,仙之气,修仙；动作；江湖；战斗；仙侠,在仙侠世界中修炼功法、闯荡江湖、击败强敌以飞升成仙。,1,非常不推荐,核心是修仙动作战斗，属于你明确不喜欢的类型。,https://www.gamer520.com/114086.html,
2026-06-02,PC,潘多拉的玩具盒,上帝模拟；沙盒；文明建设；策略；Roguelite,化身埃庇米修斯在随机生成的像素大陆上创造并引导人类文明发展，从聚落到城邦，抵御异教徒并传播信仰。,2,不推荐,有策略和文明建设的趣味，但核心是上帝模拟沙盒和Roguelite循环，缺乏叙事引导。,https://www.gamer520.com/113814.html,
2026-06-02,PC,佩布尔骑士 Pebble Knight,动作；平台跳跃；冒险；骑士,扮演骑士在像素风格的关卡中跳跃和战斗，克服障碍完成冒险。,1,非常不推荐,核心是动作平台跳跃和战斗，不符合你的偏好。,https://www.gamer520.com/111727.html,
2026-06-02,PC,哀鸿：城破十日记,文字冒险；明末历史；叙事驱动；生存；多结局,"扮演书生方知宥误入""狮驼国""，在群妖屠城的十日内努力求生并找回记忆，解开故人死亡之谜。零创游戏剧情第三作。45万字多结局。",4,推荐,零创游戏继《饿殍》《葬花》后新作，文字叙事驱动、明末历史题材、多结局选择，高度贴合你的口味。,https://www.gamer520.com/111372.html,
